" Single Year Age Groups for Custom Region - Papua New Guinea"
Country,Year,Age,"Both Sexes Population","Male Population","Female Population","Percent Both Sexes","Percent Male","Percent Female","Sex Ratio"
"Papua New Guinea",2015,Total,6672429,3410159,3262270,100.0,100.0,100.0,104.5
"Papua New Guinea",2015,0+,157931,80680,77251,2.4,2.4,2.4,104.4
"Papua New Guinea",2015,1-1,156195,79668,76527,2.3,2.3,2.3,104.1
"Papua New Guinea",2015,2-2,155599,79310,76289,2.3,2.3,2.3,104.0
"Papua New Guinea",2015,3-3,155136,79039,76097,2.3,2.3,2.3,103.9
"Papua New Guinea",2015,4-4,154610,78741,75869,2.3,2.3,2.3,103.8
"Papua New Guinea",2015,5-5,154269,78541,75728,2.3,2.3,2.3,103.7
"Papua New Guinea",2015,6-6,154119,78440,75679,2.3,2.3,2.3,103.6
"Papua New Guinea",2015,7-7,153848,78279,75569,2.3,2.3,2.3,103.6
"Papua New Guinea",2015,8-8,153447,78055,75392,2.3,2.3,2.3,103.5
"Papua New Guinea",2015,9-9,152915,77764,75151,2.3,2.3,2.3,103.5
"Papua New Guinea",2015,10-10,152172,77368,74804,2.3,2.3,2.3,103.4
"Papua New Guinea",2015,11-11,151238,76876,74362,2.3,2.3,2.3,103.4
"Papua New Guinea",2015,12-12,150192,76326,73866,2.3,2.2,2.3,103.3
"Papua New Guinea",2015,13-13,149041,75720,73321,2.2,2.2,2.2,103.3
"Papua New Guinea",2015,14-14,147789,75063,72726,2.2,2.2,2.2,103.2
"Papua New Guinea",2015,15-15,145817,74040,71777,2.2,2.2,2.2,103.2
"Papua New Guinea",2015,16-16,143086,72625,70461,2.1,2.1,2.2,103.1
"Papua New Guinea",2015,17-17,140228,71143,69085,2.1,2.1,2.1,103.0
"Papua New Guinea",2015,18-18,137329,69637,67692,2.1,2.0,2.1,102.9
"Papua New Guinea",2015,19-19,134425,68129,66296,2.0,2.0,2.0,102.8
"Papua New Guinea",2015,20-20,131251,66482,64769,2.0,1.9,2.0,102.6
"Papua New Guinea",2015,21-21,127543,64569,62974,1.9,1.9,1.9,102.5
"Papua New Guinea",2015,22-22,123584,62524,61060,1.9,1.8,1.9,102.4
"Papua New Guinea",2015,23-23,119720,60539,59181,1.8,1.8,1.8,102.3
"Papua New Guinea",2015,24-24,116016,58639,57377,1.7,1.7,1.8,102.2
"Papua New Guinea",2015,25-25,112595,56921,55674,1.7,1.7,1.7,102.2
"Papua New Guinea",2015,26-26,109321,55294,54027,1.6,1.6,1.7,102.3
"Papua New Guinea",2015,27-27,106190,53752,52438,1.6,1.6,1.6,102.5
"Papua New Guinea",2015,28-28,103181,52278,50903,1.5,1.5,1.6,102.7
"Papua New Guinea",2015,29-29,100286,50866,49420,1.5,1.5,1.5,102.9
"Papua New Guinea",2015,30-30,97491,49509,47982,1.5,1.5,1.5,103.2
"Papua New Guinea",2015,31-31,94796,48193,46603,1.4,1.4,1.4,103.4
"Papua New Guinea",2015,32-32,92201,46928,45273,1.4,1.4,1.4,103.7
"Papua New Guinea",2015,33-33,89706,45707,43999,1.3,1.3,1.3,103.9
"Papua New Guinea",2015,34-34,87332,44539,42793,1.3,1.3,1.3,104.1
"Papua New Guinea",2015,35-35,100132,51158,48974,1.5,1.5,1.5,104.5
"Papua New Guinea",2015,36-36,98844,50548,48296,1.5,1.5,1.5,104.7
"Papua New Guinea",2015,37-37,95715,49002,46713,1.4,1.4,1.4,104.9
"Papua New Guinea",2015,38-38,92111,47219,44892,1.4,1.4,1.4,105.2
"Papua New Guinea",2015,39-39,88497,45436,43061,1.3,1.3,1.3,105.5
"Papua New Guinea",2015,40-40,84975,43720,41255,1.3,1.3,1.3,106.0
"Papua New Guinea",2015,41-41,81525,42068,39457,1.2,1.2,1.2,106.6
"Papua New Guinea",2015,42-42,78212,40527,37685,1.2,1.2,1.2,107.5
"Papua New Guinea",2015,43-43,75015,39068,35947,1.1,1.1,1.1,108.7
"Papua New Guinea",2015,44-44,71874,37661,34213,1.1,1.1,1.0,110.1
"Papua New Guinea",2015,45-45,68869,36325,32544,1.0,1.1,1.0,111.6
"Papua New Guinea",2015,46-46,65994,35031,30963,1.0,1.0,0.9,113.1
"Papua New Guinea",2015,47-47,63212,33712,29500,0.9,1.0,0.9,114.3
"Papua New Guinea",2015,48-48,60557,32370,28187,0.9,0.9,0.9,114.8
"Papua New Guinea",2015,49-49,58008,31011,26997,0.9,0.9,0.8,114.9
"Papua New Guinea",2015,50-50,55590,29694,25896,0.8,0.9,0.8,114.7
"Papua New Guinea",2015,51-51,53265,28417,24848,0.8,0.8,0.8,114.4
"Papua New Guinea",2015,52-52,50893,27069,23824,0.8,0.8,0.7,113.6
"Papua New Guinea",2015,53-53,48456,25639,22817,0.7,0.8,0.7,112.4
"Papua New Guinea",2015,54-54,45988,24165,21823,0.7,0.7,0.7,110.7
"Papua New Guinea",2015,55-55,43540,22686,20854,0.7,0.7,0.6,108.8
"Papua New Guinea",2015,56-56,41243,21301,19942,0.6,0.6,0.6,106.8
"Papua New Guinea",2015,57-57,39179,20060,19119,0.6,0.6,0.6,104.9
"Papua New Guinea",2015,58-58,37428,19014,18414,0.6,0.6,0.6,103.3
"Papua New Guinea",2015,59-59,35874,18107,17767,0.5,0.5,0.5,101.9
"Papua New Guinea",2015,60-60,34405,17241,17164,0.5,0.5,0.5,100.4
"Papua New Guinea",2015,61-61,32920,16388,16532,0.5,0.5,0.5,99.1
"Papua New Guinea",2015,62-62,31375,15559,15816,0.5,0.5,0.5,98.4
"Papua New Guinea",2015,63-63,29755,14752,15003,0.4,0.4,0.5,98.3
"Papua New Guinea",2015,64-64,28077,13967,14110,0.4,0.4,0.4,99.0
"Papua New Guinea",2015,65-65,26459,13213,13246,0.4,0.4,0.4,99.8
"Papua New Guinea",2015,66-66,24857,12476,12381,0.4,0.4,0.4,100.8
"Papua New Guinea",2015,67-67,23201,11725,11476,0.3,0.3,0.4,102.2
"Papua New Guinea",2015,68-68,21450,10956,10494,0.3,0.3,0.3,104.4
"Papua New Guinea",2015,69-69,19673,10175,9498,0.3,0.3,0.3,107.1
"Papua New Guinea",2015,70-70,17892,9408,8484,0.3,0.3,0.3,110.9
"Papua New Guinea",2015,71-71,16209,8665,7544,0.2,0.3,0.2,114.9
"Papua New Guinea",2015,72-72,14739,7936,6803,0.2,0.2,0.2,116.7
"Papua New Guinea",2015,73-73,13534,7232,6302,0.2,0.2,0.2,114.8
"Papua New Guinea",2015,74-74,12501,6555,5946,0.2,0.2,0.2,110.2
"Papua New Guinea",2015,75-75,11548,5901,5647,0.2,0.2,0.2,104.5
"Papua New Guinea",2015,76-76,10575,5285,5290,0.2,0.2,0.2,99.9
"Papua New Guinea",2015,77-77,9540,4700,4840,0.1,0.1,0.1,97.1
"Papua New Guinea",2015,78-78,8422,4154,4268,0.1,0.1,0.1,97.3
"Papua New Guinea",2015,79-79,7284,3639,3645,0.1,0.1,0.1,99.8
"Papua New Guinea",2015,80-80,6190,3147,3043,0.1,0.1,0.1,103.4
"Papua New Guinea",2015,81-81,5207,2687,2520,0.1,0.1,0.1,106.6
"Papua New Guinea",2015,82-82,4355,2280,2075,0.1,0.1,0.1,109.9
"Papua New Guinea",2015,83-83,3640,1924,1716,0.1,0.1,0.1,112.1
"Papua New Guinea",2015,84-84,3020,1605,1415,0.0,0.0,0.0,113.4
"Papua New Guinea",2015,85-89,8120,4368,3752,0.1,0.1,0.1,116.4
"Papua New Guinea",2015,90-94,1699,933,766,0.0,0.0,0.0,121.8
"Papua New Guinea",2015,95-99,177,91,86,0.0,0.0,0.0,105.8
"Papua New Guinea",2015,100+,10,5,5,0.0,0.0,0.0,100.0
